FileName;Group;ShortName
GSM3355965_BI12-000500.CEL;HD;HD37
GSM3355972_BI12-000203.CEL;MM;MM337
GSM3355973_BI12-000210.CEL;MM;MM338
GSM3355974_BI12-000267.CEL;HD;HD38
GSM3356042_BI13-000378.CEL;HD;HD39
GSM3356045_BI13-000437.CEL;MM;MM339
GSM3356055_P4387-01-BC20418-U133Plus-2.CEL;MM;MM340
GSM3356056_P4386-01-BC21557-U133Plus-2.CEL;MM;MM341
GSM3356057_P4385-01-BC21630-U133Plus-2.CEL;MM;MM342
GSM3356058_P4384-01-BC20105-U133Plus-2.CEL;MM;MM343
GSM3356059_P4383-01-BC21028-U133Plus-2.CEL;MM;MM344
GSM3356060_P4389-01-BC22465-U133Plus-2.CEL;MM;MM345
GSM3356061_P4390-01-BC20409-U133Plus-2.CEL;MM;MM346
GSM3356062_P4391-01-BC22135-U133Plus-2.CEL;MM;MM347
GSM3356063_P4402-01-BC20352-U133Plus-2.CEL;MM;MM348
GSM3356064_P4403-01-BC21056-U133Plus-2.CEL;MM;MM349
GSM3356065_P4404-01-BC22905-U133Plus-2.CEL;MM;MM350
GSM3356066_P4405-01-BC22771-U133Plus-2.CEL;MM;MM351
GSM3356067_P4406-01-BC21719-U133Plus-2.CEL;MM;MM352
GSM3356068_P4407-01-BC22089-U133Plus-2.CEL;MM;MM353
GSM3356069_P4423-01-BC13447-U133Plus-2.CEL;MM;MM354
GSM3356070_P4422-01-BC9858-U133Plus-2.CEL;MM;MM355
GSM3356071_P4421-01-BC13546-U133Plus-2.CEL;MM;MM356
GSM3356072_P4420-01-BC10779-U133Plus-2.CEL;MM;MM357
GSM3356073_P4418-01-BC10761-U133Plus-2.CEL;MM;MM358
GSM3356074_P4417-01-BC10913-U133Plus-2.CEL;MM;MM359
GSM3356075_P4416-01-BC12508-U133Plus-2.CEL;MM;MM360
GSM3356076_P4415-01-bc14973-U133Plus-2.CEL;MM;MM361
GSM3356077_P4414-01-BC15085-U133Plus-2.CEL;MM;MM362
